timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1741680400316,8,14 Register Request,201,Created,User Thread Group 1-778,text,true,,287,296,364,364,http://localhost:8080/authentication/register,8,0,0
1741680400309,16,23 Get Stock Portfolio Request,200,OK,User Thread Group 1-454,text,true,,386,414,364,364,http://localhost:8080/transaction/getStockPortfolio,16,0,0
1741680400309,17,19 Place Stock Order Request,200,OK,User Thread Group 1-584,text,true,,843,535,363,363,http://localhost:8080/engine/placeStockOrder,17,0,0
1741680400286,41,21 Get Wallet Transactions Request,200,OK,User Thread Group 1-530,text,true,,471,411,363,363,http://localhost:8080/transaction/getWalletTransactions,41,0,0
1741680400324,7,23 Get Stock Portfolio Request,200,OK,User Thread Group 1-448,text,true,,386,406,363,363,http://localhost:8080/transaction/getStockPortfolio,7,0,0
1741680400315,17,21 Get Wallet Transactions Request,200,OK,User Thread Group 1-529,text,true,,471,415,362,362,http://localhost:8080/transaction/getWalletTransactions,17,0,0
1741680400317,17,15 Login Request,200,OK,User Thread Group 1-742,text,true,,535,259,362,362,http://localhost:8080/authentication/login,17,0,0
1741680400324,11,20 Get Stock Transactions Request,200,OK,User Thread Group 1-568,text,true,,880,409,362,362,http://localhost:8080/transaction/getStockTransactions,11,0,0
1741680400330,7,20 Get Stock Transactions Request,200,OK,User Thread Group 1-561,text,true,,888,417,363,363,http://localhost:8080/transaction/getStockTransactions,7,0,0
1741680400300,38,18 Get Wallet Balance Request,200,OK,User Thread Group 1-634,text,true,,309,413,363,363,http://localhost:8080/transaction/getWalletBalance,38,0,0
1741680400289,49,16 Get Stock Prices Request,200,OK,User Thread Group 1-706,text,true,,479,407,363,363,http://localhost:8080/transaction/getStockPrices,49,0,0
1741680400317,22,15 Login Request,200,OK,User Thread Group 1-743,text,true,,532,254,363,363,http://localhost:8080/authentication/login,22,0,0
1741680400329,12,20 Get Stock Transactions Request,200,OK,User Thread Group 1-570,text,true,,887,416,363,363,http://localhost:8080/transaction/getStockTransactions,12,0,0
1741680400330,13,17 Add Money Request,200,OK,User Thread Group 1-673,text,true,,294,439,363,363,http://localhost:8080/transaction/addMoneyToWallet,13,0,0
1741680400334,10,19 Place Stock Order Request,200,OK,User Thread Group 1-607,text,true,,844,536,363,363,http://localhost:8080/engine/placeStockOrder,10,0,0
1741680400330,18,22 Get Wallet Balance Request,200,OK,User Thread Group 1-498,text,true,,308,414,363,363,http://localhost:8080/transaction/getWalletBalance,18,0,0
1741680400328,21,14 Register Request,201,Created,User Thread Group 1-779,text,true,,287,271,363,363,http://localhost:8080/authentication/register,21,0,2
1741680400333,16,19 Place Stock Order Request,200,OK,User Thread Group 1-600,text,true,,852,544,363,363,http://localhost:8080/engine/placeStockOrder,16,0,0
1741680400308,41,18 Get Wallet Balance Request,200,OK,User Thread Group 1-638,text,true,,309,401,363,363,http://localhost:8080/transaction/getWalletBalance,41,0,0
1741680400326,22,16 Get Stock Prices Request,200,OK,User Thread Group 1-709,text,true,,479,415,363,363,http://localhost:8080/transaction/getStockPrices,22,0,0
1741680400344,8,14 Register Request,201,Created,User Thread Group 1-780,text,true,,287,272,364,364,http://localhost:8080/authentication/register,8,0,0
1741680400337,15,17 Add Money Request,200,OK,User Thread Group 1-674,text,true,,294,441,364,364,http://localhost:8080/transaction/addMoneyToWallet,15,0,0
1741680400339,13,15 Login Request,200,OK,User Thread Group 1-744,text,true,,529,263,364,364,http://localhost:8080/authentication/login,13,0,0
1741680400334,20,18 Get Wallet Balance Request,200,OK,User Thread Group 1-639,text,true,,309,416,364,364,http://localhost:8080/transaction/getWalletBalance,20,0,0
1741680400345,11,21 Get Wallet Transactions Request,200,OK,User Thread Group 1-535,text,true,,471,409,364,364,http://localhost:8080/transaction/getWalletTransactions,11,0,0
1741680400347,10,18 Get Wallet Balance Request,200,OK,User Thread Group 1-635,text,true,,309,405,364,364,http://localhost:8080/transaction/getWalletBalance,10,0,0
1741680400347,11,19 Place Stock Order Request,200,OK,User Thread Group 1-592,text,true,,859,551,364,364,http://localhost:8080/engine/placeStockOrder,11,0,0
1741680400332,26,16 Get Stock Prices Request,200,OK,User Thread Group 1-708,text,true,,479,399,364,364,http://localhost:8080/transaction/getStockPrices,26,0,0
1741680400324,34,23 Get Stock Portfolio Request,200,OK,User Thread Group 1-452,text,true,,386,418,364,364,http://localhost:8080/transaction/getStockPortfolio,34,0,0
1741680400340,18,17 Add Money Request,200,OK,User Thread Group 1-672,text,true,,294,450,363,363,http://localhost:8080/transaction/addMoneyToWallet,18,0,0
1741680400349,10,19 Place Stock Order Request,200,OK,User Thread Group 1-599,text,true,,847,539,363,363,http://localhost:8080/engine/placeStockOrder,10,0,0
1741680400346,13,18 Get Wallet Balance Request,200,OK,User Thread Group 1-637,text,true,,309,404,363,363,http://localhost:8080/transaction/getWalletBalance,13,0,0
1741680400336,25,23 Get Stock Portfolio Request,200,OK,User Thread Group 1-457,text,true,,386,415,363,363,http://localhost:8080/transaction/getStockPortfolio,25,0,0
1741680400352,12,16 Get Stock Prices Request,200,OK,User Thread Group 1-711,text,true,,479,400,362,362,http://localhost:8080/transaction/getStockPrices,12,0,0
1741680400353,12,22 Get Wallet Balance Request,200,OK,User Thread Group 1-501,text,true,,308,406,362,362,http://localhost:8080/transaction/getWalletBalance,12,0,0
1741680400349,16,16 Get Stock Prices Request,200,OK,User Thread Group 1-710,text,true,,479,403,362,362,http://localhost:8080/transaction/getStockPrices,16,0,0
1741680400358,8,14 Register Request,201,Created,User Thread Group 1-781,text,true,,287,267,362,362,http://localhost:8080/authentication/register,8,0,1
1741680400352,15,17 Add Money Request,200,OK,User Thread Group 1-676,text,true,,294,442,362,362,http://localhost:8080/transaction/addMoneyToWallet,15,0,0
1741680400336,32,23 Get Stock Portfolio Request,200,OK,User Thread Group 1-450,text,true,,386,409,362,362,http://localhost:8080/transaction/getStockPortfolio,32,0,0
1741680400369,4,18 Get Wallet Balance Request,200,OK,User Thread Group 1-636,text,true,,309,405,362,362,http://localhost:8080/transaction/getWalletBalance,4,0,0
1741680400371,6,15 Login Request,200,OK,User Thread Group 1-747,text,true,,531,258,362,362,http://localhost:8080/authentication/login,6,0,0
1741680400377,5,21 Get Wallet Transactions Request,200,OK,User Thread Group 1-537,text,true,,471,411,362,362,http://localhost:8080/transaction/getWalletTransactions,5,0,0
1741680400377,9,22 Get Wallet Balance Request,200,OK,User Thread Group 1-491,text,true,,308,412,363,363,http://localhost:8080/transaction/getWalletBalance,9,0,0
1741680400376,11,15 Login Request,200,OK,User Thread Group 1-748,text,true,,529,250,363,363,http://localhost:8080/authentication/login,11,0,0
1741680400382,6,16 Get Stock Prices Request,200,OK,User Thread Group 1-712,text,true,,479,411,363,363,http://localhost:8080/transaction/getStockPrices,6,0,0
1741680400376,12,23 Get Stock Portfolio Request,200,OK,User Thread Group 1-459,text,true,,386,415,363,363,http://localhost:8080/transaction/getStockPortfolio,12,0,0
1741680400380,10,23 Get Stock Portfolio Request,200,OK,User Thread Group 1-451,text,true,,386,414,362,362,http://localhost:8080/transaction/getStockPortfolio,10,0,0
1741680400374,16,15 Login Request,200,OK,User Thread Group 1-745,text,true,,533,261,362,362,http://localhost:8080/authentication/login,16,0,0
1741680400379,11,15 Login Request,200,OK,User Thread Group 1-746,text,true,,528,264,362,362,http://localhost:8080/authentication/login,11,0,0
1741680400382,8,18 Get Wallet Balance Request,200,OK,User Thread Group 1-640,text,true,,309,414,362,362,http://localhost:8080/transaction/getWalletBalance,8,0,0
1741680400373,18,14 Register Request,201,Created,User Thread Group 1-782,text,true,,287,275,362,362,http://localhost:8080/authentication/register,18,0,1
1741680400385,10,20 Get Stock Transactions Request,200,OK,User Thread Group 1-572,text,true,,888,417,361,361,http://localhost:8080/transaction/getStockTransactions,10,0,0
1741680400382,13,19 Place Stock Order Request,200,OK,User Thread Group 1-606,text,true,,843,535,361,361,http://localhost:8080/engine/placeStockOrder,13,0,0
1741680400389,7,22 Get Wallet Balance Request,200,OK,User Thread Group 1-499,text,true,,308,405,361,361,http://localhost:8080/transaction/getWalletBalance,7,0,0
1741680400389,7,20 Get Stock Transactions Request,200,OK,User Thread Group 1-571,text,true,,883,412,361,361,http://localhost:8080/transaction/getStockTransactions,7,0,0
1741680400392,5,21 Get Wallet Transactions Request,200,OK,User Thread Group 1-521,text,true,,471,419,361,361,http://localhost:8080/transaction/getWalletTransactions,5,0,0
1741680400392,6,20 Get Stock Transactions Request,200,OK,User Thread Group 1-574,text,true,,879,408,362,362,http://localhost:8080/transaction/getStockTransactions,6,0,0
1741680400395,7,17 Add Money Request,200,OK,User Thread Group 1-678,text,true,,294,450,362,362,http://localhost:8080/transaction/addMoneyToWallet,7,0,0
