timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1741648606980,42,17 Add Money Request,200,OK,User Thread Group 1-834,text,true,,294,447,833,833,http://localhost:8080/transaction/addMoneyToWallet,42,0,0
1741648606981,41,16 Get Stock Prices Request,200,OK,User Thread Group 1-867,text,false,,292,404,833,833,http://localhost:8080/transaction/getStockPrices,41,0,0
1741648605501,1523,17 Add Money Request,200,OK,User Thread Group 1-707,text,true,,294,449,833,833,http://localhost:8080/transaction/addMoneyToWallet,1523,0,0
1741648606472,555,21 Get Wallet Transactions Request,200,OK,User Thread Group 1-444,text,false,,331,411,833,833,http://localhost:8080/transaction/getWalletTransactions,555,0,0
1741648605548,1479,20 Get Stock Transactions Request,200,OK,User Thread Group 1-465,text,false,,337,405,833,833,http://localhost:8080/transaction/getStockTransactions,1479,0,0
1741648606848,180,14 Register Request,201,Created,User Thread Group 1-936,text,true,,287,282,833,833,http://localhost:8080/authentication/register,180,0,0
1741648606439,597,20 Get Stock Transactions Request,200,OK,User Thread Group 1-492,text,false,,337,406,834,834,http://localhost:8080/transaction/getStockTransactions,597,0,0
1741648606871,169,15 Login Request,200,OK,User Thread Group 1-906,text,true,,532,257,834,834,http://localhost:8080/authentication/login,169,0,0
1741648606871,171,14 Register Request,201,Created,User Thread Group 1-941,text,true,,287,282,834,834,http://localhost:8080/authentication/register,171,0,3
1741648605549,1494,18 Get Wallet Balance Request,200,OK,User Thread Group 1-644,text,true,,309,414,834,834,http://localhost:8080/transaction/getWalletBalance,1494,0,0
1741648606424,622,16 Get Stock Prices Request,200,OK,User Thread Group 1-842,text,false,,292,406,835,835,http://localhost:8080/transaction/getStockPrices,622,0,0
1741648606143,905,19 Place Stock Order Request,400,Bad Request,User Thread Group 1-627,text,false,"Value in json path '$.success' expected to match regexp 'true', but it did not match: 'false'",369,509,835,835,http://localhost:8080/engine/placeStockOrder,905,0,0
1741648606500,548,18 Get Wallet Balance Request,200,OK,User Thread Group 1-706,text,true,,309,409,835,835,http://localhost:8080/transaction/getWalletBalance,548,0,0
1741648607005,50,14 Register Request,201,Created,User Thread Group 1-950,text,true,,287,270,835,835,http://localhost:8080/authentication/register,50,0,1
1741648605791,1271,17 Add Money Request,200,OK,User Thread Group 1-732,text,true,,294,453,836,836,http://localhost:8080/transaction/addMoneyToWallet,1271,0,0
1741648607047,18,14 Register Request,201,Created,User Thread Group 1-951,text,true,,287,293,836,836,http://localhost:8080/authentication/register,18,0,2
1741648605799,1267,16 Get Stock Prices Request,200,OK,User Thread Group 1-793,text,false,,292,406,836,836,http://localhost:8080/transaction/getStockPrices,1267,0,0
1741648607061,7,18 Get Wallet Balance Request,200,OK,User Thread Group 1-722,text,true,,309,406,836,836,http://localhost:8080/transaction/getWalletBalance,7,0,0
1741648607053,19,16 Get Stock Prices Request,200,OK,User Thread Group 1-871,text,false,,292,414,836,836,http://localhost:8080/transaction/getStockPrices,19,0,0
1741648605511,1561,16 Get Stock Prices Request,200,OK,User Thread Group 1-762,text,false,,292,411,836,836,http://localhost:8080/transaction/getStockPrices,1561,0,0
1741648606167,906,19 Place Stock Order Request,400,Bad Request,User Thread Group 1-609,text,false,"Value in json path '$.success' expected to match regexp 'true', but it did not match: 'false'",369,510,836,836,http://localhost:8080/engine/placeStockOrder,906,0,0
1741648606544,534,18 Get Wallet Balance Request,200,OK,User Thread Group 1-713,text,true,,309,408,837,837,http://localhost:8080/transaction/getWalletBalance,534,0,0
1741648607070,8,16 Get Stock Prices Request,200,OK,User Thread Group 1-875,text,false,,292,399,837,837,http://localhost:8080/transaction/getStockPrices,8,0,0
1741648607053,27,15 Login Request,200,OK,User Thread Group 1-914,text,true,,528,250,837,837,http://localhost:8080/authentication/login,27,0,0
1741648606547,533,18 Get Wallet Balance Request,200,OK,User Thread Group 1-615,text,true,,309,409,837,837,http://localhost:8080/transaction/getWalletBalance,533,0,0
1741648605844,1239,16 Get Stock Prices Request,200,OK,User Thread Group 1-800,text,false,,292,408,837,837,http://localhost:8080/transaction/getStockPrices,1239,0,0
1741648607060,25,14 Register Request,201,Created,User Thread Group 1-953,text,true,,287,291,837,837,http://localhost:8080/authentication/register,25,0,0
1741648607081,6,14 Register Request,201,Created,User Thread Group 1-955,text,true,,287,276,837,837,http://localhost:8080/authentication/register,6,0,0
1741648607076,14,15 Login Request,200,OK,User Thread Group 1-916,text,true,,536,250,838,838,http://localhost:8080/authentication/login,14,0,0
1741648607087,6,15 Login Request,200,OK,User Thread Group 1-915,text,true,,528,258,838,838,http://localhost:8080/authentication/login,6,0,0
1741648607053,42,16 Get Stock Prices Request,200,OK,User Thread Group 1-872,text,false,,292,402,838,838,http://localhost:8080/transaction/getStockPrices,42,0,0
1741648607079,19,15 Login Request,200,OK,User Thread Group 1-920,text,true,,519,248,838,838,http://localhost:8080/authentication/login,19,0,0
1741648605585,1515,18 Get Wallet Balance Request,200,OK,User Thread Group 1-651,text,true,,309,401,838,838,http://localhost:8080/transaction/getWalletBalance,1515,0,0
1741648607088,12,20 Get Stock Transactions Request,200,OK,User Thread Group 1-250,text,false,,862,421,838,838,http://localhost:8080/transaction/getStockTransactions,12,0,0
1741648607096,9,18 Get Wallet Balance Request,200,OK,User Thread Group 1-766,text,true,,309,402,839,839,http://localhost:8080/transaction/getWalletBalance,9,0,0
1741648607065,42,14 Register Request,201,Created,User Thread Group 1-954,text,true,,287,286,839,839,http://localhost:8080/authentication/register,42,0,0
1741648606566,541,18 Get Wallet Balance Request,200,OK,User Thread Group 1-690,text,true,,309,413,839,839,http://localhost:8080/transaction/getWalletBalance,541,0,0
